Cloudiness,Country,Humidity,Latitude,Longitude,Max_Temp,Temperature (F),Wind Speed
8,ID,82,3.3,117.63,86.7,86.7,2.37
8,PE,82,-4.58,-81.27,70.37,70.37,5.61
0,CA,73,48.8,-79.2,12.0,12.0,6.73
5,MX,57,21.05,-89.07,78.8,78.8,16.11
44,MM,50,22.92,96.51,78.29,78.29,2.37
64,RU,73,61.56,45.93,8.58,8.58,7.96
80,NZ,60,-39.94,176.59,71.4,71.4,13.33
32,PH,76,17.32,120.7,83.51,83.51,5.17
20,MU,74,-20.02,57.58,84.2,84.2,11.41
76,RU,75,62.71,56.19,18.3,18.3,8.52
40,PT,76,38.73,-27.07,51.8,51.8,11.1
92,EC,93,-3.69,-79.61,65.78,65.78,0.92
88,ID,100,1.74,98.78,74.28,74.28,0.92
40,BR,94,-9.67,-35.74,73.4,73.4,3.36
48,RU,40,59.56,150.8,14.0,14.0,6.71
44,RU,47,54.43,119.94,4.8,4.8,3.6
0,AU,42,-32.25,115.77,91.4,89.11,14.99
0,CR,57,10.15,-85.45,78.8,78.8,10.29
20,GH,88,5.35,-0.62,80.6,80.6,9.17
90,CA,61,58.81,-122.69,12.2,12.2,16.11
88,AO,95,-11.78,19.91,63.84,63.84,6.73
8,NG,85,8.85,5.42,69.15,69.15,4.72
90,BN,79,5.28,115.24,86.0,86.0,5.82
44,RU,70,57.56,62.76,-1.64,-1.64,8.19
0,SV,83,13.59,-89.83,78.8,78.8,6.93
40,JP,55,31.42,130.32,60.8,58.95,27.51
40,JP,44,33.72,135.99,60.8,60.8,11.41
75,BR,100,-29.69,-53.81,69.8,69.8,2.24
32,ID,97,-8.63,122.22,84.09,84.09,6.96
40,CA,92,48.41,-89.26,17.6,17.6,2.24
56,NC,100,-21.55,167.88,81.48,81.48,4.38
0,NA,77,-20.37,14.96,52.23,52.23,1.36
8,GH,92,5.11,-1.24,74.78,74.78,3.94
0,ML,49,16.77,-3.01,72.21,72.21,6.96
8,BR,100,-17.73,-39.27,81.3,81.3,16.8
90,GB,73,51.62,-3.81,23.0,23.0,24.16
48,RU,67,64.57,143.24,-3.62,-3.62,2.37
20,MX,78,21.23,-86.73,73.4,73.4,9.17
20,BG,84,42.76,23.57,1.4,1.4,2.24
64,RU,65,62.65,135.58,-14.69,-14.69,3.71
5,CA,85,50.48,-104.42,12.2,12.2,9.17
80,NO,100,70.86,29.09,24.38,24.38,4.05
75,GR,59,39.45,22.34,37.4,37.4,5.82
32,BR,91,-20.63,-46.0,64.83,64.83,2.59
92,ZA,100,-34.05,23.37,67.67,67.67,7.4
40,CO,83,7.83,-72.51,73.4,73.4,2.24
90,FR,79,49.65,0.71,23.0,23.0,13.87
0,BR,94,-20.67,-40.5,77.0,77.0,11.41
75,US,92,46.77,-92.13,26.6,24.78,10.29
90,US,73,21.44,-157.84,75.2,72.97,16.11
90,US,81,36.67,-121.66,51.8,51.39,6.51
12,RU,66,57.69,71.17,-0.47,-0.47,6.73
90,US,88,25.87,-97.51,75.2,73.78,17.22
0,CN,49,25.6,100.24,65.91,65.91,2.26
5,CA,78,55.1,-105.3,14.0,14.0,4.7
0,SO,100,11.28,49.18,75.54,75.54,6.62
56,MY,71,2.02,112.94,86.61,86.61,2.48
0,AU,52,-37.83,140.78,72.03,72.03,6.51
